PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
Moussa Diabaté,CHA,F,71,17.5,5.7,0.8,6.2,0.6,0.6,0.9,0.596,0.0,0.595,11.725714285714286,1.6457142857142857,12.754285714285714,17.7,Rebounder / Interior Player
Myles Turner,IND,C-F,72,30.2,15.6,1.5,6.5,0.8,2.0,1.7,0.481,0.396,0.773,18.596026490066222,1.7880794701986757,7.748344370860928,34.6,All-Around Player
Naji Marshall,DAL,F,69,27.8,13.2,3.0,4.8,1.0,0.2,1.6,0.508,0.275,0.813,17.093525179856115,3.884892086330935,6.215827338129496,25.0,Role Player
Naz Reid,MIN,C-F,80,27.5,14.2,2.3,6.0,0.7,0.9,1.4,0.462,0.379,0.776,18.58909090909091,3.0109090909090908,7.8545454545454545,27.8,Rebounder / Interior Player
Neemias Queta,BOS,C,62,13.9,5.0,0.7,3.8,0.3,0.7,0.6,0.65,0.0,0.754,12.949640287769784,1.8129496402877696,9.841726618705035,11.8,Rebounder / Interior Player
Nic Claxton,BKN,C,70,26.9,10.3,2.2,7.4,0.9,1.4,1.2,0.563,0.238,0.513,13.784386617100374,2.944237918215614,9.903345724907066,31.3,Rebounder / Interior Player
Nick Richards,PHX,C,57,22.0,9.3,0.9,8.2,0.2,1.0,1.4,0.591,0.0,0.744,15.21818181818182,1.4727272727272727,13.418181818181816,22.5,Rebounder / Interior Player
Nick Smith Jr.,CHA,G,60,22.8,9.9,2.4,2.1,0.3,0.1,1.4,0.391,0.34,0.935,15.631578947368421,3.789473684210526,3.31578947368421,12.2,Role Player
Nickeil Alexander-Walker,MIN,G,82,25.3,9.4,2.7,3.2,0.6,0.4,1.2,0.438,0.381,0.78,13.375494071146246,3.8418972332015815,4.553359683794466,17.8,Role Player
Nicolas Batum,LAC,G-F,78,17.5,4.0,1.1,2.8,0.7,0.5,0.4,0.437,0.433,0.81,8.228571428571428,2.262857142857143,5.76,12.1,Role Player
Nikola Jokić,DEN,C,70,36.7,29.6,10.2,12.7,1.8,0.6,3.3,0.576,0.417,0.8,29.035422343324253,10.005449591280652,12.45776566757493,68.3,All-Around Player
Nikola Jović,MIA,F,46,25.1,10.7,2.8,3.9,0.8,0.3,1.3,0.456,0.371,0.828,15.346613545816732,4.015936254980079,5.5936254980079685,20.8,Role Player
Nikola Vučević,CHI,C,73,31.2,18.5,3.5,10.1,0.8,0.7,1.6,0.53,0.402,0.805,21.346153846153847,4.038461538461538,11.653846153846155,38.6,All-Around Player
Noah Clowney,BKN,F-C,46,22.7,9.1,0.9,3.9,0.5,0.5,1.0,0.358,0.333,0.838,14.431718061674008,1.4273127753303965,6.185022026431718,15.3,Role Player
Norman Powell,LAC,G,60,32.6,21.8,2.1,3.2,1.2,0.2,1.8,0.484,0.418,0.804,24.073619631901842,2.3190184049079754,3.5337423312883436,28.0,Two-Way Player
OG Anunoby,NYK,F-G,74,36.6,18.0,2.2,4.8,1.5,0.9,1.4,0.476,0.372,0.81,17.704918032786885,2.1639344262295084,4.721311475409835,34.0,All-Around Player
Obi Toppin,IND,F,79,19.6,10.5,1.6,4.0,0.6,0.4,0.9,0.529,0.365,0.781,19.285714285714285,2.9387755102040813,7.346938775510203,17.8,Role Player
Ochai Agbaji,TOR,G,64,27.2,10.4,1.5,3.8,0.9,0.5,0.8,0.498,0.399,0.708,13.764705882352942,1.9852941176470589,5.029411764705882,19.9,Role Player
Olivier-Maxence Prosper,DAL,F,52,11.2,3.9,0.8,2.4,0.5,0.1,0.3,0.402,0.235,0.645,12.535714285714286,2.5714285714285716,7.714285714285715,7.4,Role Player
Onyeka Okongwu,ATL,F-C,74,27.9,13.4,2.3,8.9,0.9,0.9,1.2,0.567,0.324,0.759,17.290322580645164,2.967741935483871,11.483870967741936,33.2,Rebounder / Interior Player
Orlando Robinson,TOR,UNK,44,17.5,6.9,1.8,5.0,0.4,0.4,1.1,0.444,0.327,0.771,14.194285714285714,3.702857142857143,10.285714285714285,15.9,Role Player
Oso Ighodaro,PHX,F,61,17.1,4.2,1.2,3.6,0.5,0.5,0.6,0.604,0.0,0.58,8.842105263157894,2.526315789473684,7.578947368421052,12.2,Role Player
Ousmane Dieng,OKC,F,37,10.9,3.8,0.8,2.2,0.5,0.2,0.5,0.432,0.324,0.688,12.55045871559633,2.6422018348623855,7.2660550458715605,7.5,Role Player
P.J. Washington,DAL,F,57,32.2,14.7,2.3,7.8,1.1,1.1,2.1,0.453,0.381,0.722,16.43478260869565,2.5714285714285707,8.720496894409937,34.8,All-Around Player
Paolo Banchero,ORL,F,46,34.4,25.9,4.8,7.5,0.8,0.6,3.0,0.452,0.32,0.727,27.1046511627907,5.023255813953488,7.848837209302325,41.2,All-Around Player
Pascal Siakam,IND,F,78,32.7,20.2,3.4,6.9,0.9,0.5,1.4,0.519,0.389,0.734,22.23853211009174,3.743119266055045,7.5963302752293576,34.3,All-Around Player
Pat Connaughton,MIL,G,41,14.7,5.3,1.7,2.7,0.2,0.3,0.6,0.469,0.321,0.774,12.979591836734695,4.163265306122449,6.612244897959184,9.2,Role Player
Patrick Williams,CHI,F,63,25.0,9.0,2.0,3.8,0.8,0.5,1.4,0.397,0.353,0.723,12.959999999999999,2.88,5.4719999999999995,19.2,Role Player
Patty Mills,LAC,G,29,11.1,3.8,0.9,0.8,0.4,0.1,0.6,0.375,0.347,0.929,12.324324324324325,2.9189189189189193,2.5945945945945947,4.3,Role Player
Paul George,PHI,F,41,32.5,16.2,4.3,5.3,1.8,0.5,2.6,0.43,0.358,0.814,17.944615384615386,4.763076923076922,5.8707692307692305,37.3,All-Around Player
Payton Pritchard,BOS,G,80,28.4,14.3,3.5,3.8,0.9,0.2,1.0,0.472,0.407,0.845,18.12676056338028,4.436619718309859,4.816901408450704,24.4,Playmaker
Pelle Larsson,MIA,G,55,14.2,4.6,1.2,1.7,0.6,0.1,0.4,0.438,0.337,0.672,11.661971830985916,3.0422535211267605,4.309859154929578,8.2,Role Player
Peyton Watson,DEN,G,68,24.3,8.1,1.4,3.4,0.7,1.4,0.8,0.477,0.353,0.693,12.0,2.074074074074074,5.037037037037037,20.9,Rebounder / Interior Player
Precious Achiuwa,NYK,F,57,20.5,6.6,1.0,5.6,0.8,0.7,0.8,0.502,0.278,0.594,11.590243902439024,1.7560975609756098,9.834146341463413,19.6,Rebounder / Interior Player
Quentin Grimes,PHI,G,75,26.8,14.6,3.0,4.3,1.0,0.3,1.9,0.467,0.385,0.757,19.611940298507463,4.029850746268657,5.776119402985074,25.7,Two-Way Player
Quenton Jackson,IND,G,28,13.6,5.8,1.9,1.6,0.8,0.2,0.6,0.475,0.375,0.775,15.352941176470587,5.029411764705882,4.235294117647059,12.0,Role Player
Quinten Post,GSW,C,42,16.3,8.1,1.3,3.5,0.4,0.4,0.8,0.449,0.408,0.778,17.889570552147237,2.871165644171779,7.730061349693251,13.5,Role Player
RJ Barrett,TOR,F-G,58,32.2,21.1,5.4,6.3,0.8,0.3,2.9,0.468,0.35,0.63,23.59006211180124,6.037267080745341,7.0434782608695645,35.8,All-Around Player
Reece Beekman,BKN,G,36,13.0,2.6,1.8,1.1,0.9,0.1,0.6,0.327,0.175,0.762,7.2,4.984615384615385,3.0461538461538464,9.2,Role Player
Reed Sheppard,HOU,G,52,12.6,4.4,1.4,1.5,0.7,0.3,0.7,0.351,0.338,0.813,12.571428571428573,4.0,4.285714285714286,9.8,Role Player
Reggie Jackson,PHI,UNK,31,12.4,4.4,1.5,1.4,0.5,0.1,0.5,0.391,0.338,0.778,12.774193548387098,4.354838709677419,4.064516129032257,7.4,Role Player
Richaun Holmes,WAS,F,31,17.2,7.4,1.4,5.7,0.3,0.7,0.7,0.647,0.0,0.833,15.488372093023257,2.9302325581395348,11.930232558139537,17.5,Rebounder / Interior Player
Ricky Council IV,PHI,G,73,17.1,7.3,1.3,2.9,0.4,0.2,0.7,0.382,0.258,0.804,15.368421052631579,2.7368421052631575,6.105263157894736,11.0,Role Player
Rob Dillingham,MIN,G,49,10.5,4.5,2.0,1.0,0.4,0.0,1.1,0.441,0.338,0.533,15.428571428571427,6.857142857142857,3.4285714285714284,6.5,Role Player
Robert Williams III,POR,C-F,20,17.6,5.8,1.1,5.9,0.7,1.7,0.9,0.641,0.333,0.882,11.863636363636363,2.25,12.068181818181817,24.3,Rebounder / Interior Player
Ronald Holland II,DET,F,81,15.6,6.4,1.0,2.7,0.6,0.2,0.9,0.474,0.238,0.754,14.76923076923077,2.307692307692308,6.230769230769232,11.0,Role Player
Royce O'Neale,PHX,F,75,24.5,9.1,2.2,4.7,0.9,0.4,0.9,0.423,0.406,0.731,13.371428571428572,3.23265306122449,6.906122448979592,21.1,Role Player
Rudy Gobert,MIN,C,72,33.2,12.0,1.8,10.9,0.8,1.4,1.2,0.669,0.0,0.674,13.012048192771083,1.9518072289156625,11.819277108433734,36.3,Rebounder / Interior Player
Rui Hachimura,LAL,F,59,31.7,13.1,1.4,5.0,0.8,0.4,0.8,0.509,0.413,0.77,14.876971608832807,1.5899053627760251,5.678233438485804,22.1,Role Player
Russell Westbrook,DEN,G,75,27.9,13.3,6.1,4.9,1.4,0.5,3.2,0.449,0.323,0.661,17.161290322580648,7.870967741935484,6.322580645161291,35.2,Playmaker
Ryan Dunn,PHX,F,74,19.1,6.9,0.8,3.6,0.6,0.5,0.5,0.43,0.311,0.487,13.00523560209424,1.5078534031413613,6.785340314136125,13.9,Role Player
Ryan Rollins,MIL,G,56,14.6,6.2,1.9,1.9,0.8,0.3,0.9,0.487,0.408,0.8,15.287671232876713,4.684931506849315,4.684931506849315,13.2,Role Player
Sam Hauser,BOS,F,71,21.7,8.5,0.9,3.2,0.6,0.2,0.3,0.451,0.416,1.0,14.101382488479263,1.4930875576036866,5.308755760368664,13.0,Role Player
Sam Merrill,CLE,G,71,19.7,7.2,1.5,2.2,0.7,0.2,0.5,0.406,0.372,0.966,13.157360406091373,2.7411167512690358,4.020304568527919,12.4,Role Player
Sandro Mamukelashvili,SAS,F-C,61,11.2,6.3,0.8,3.1,0.4,0.3,0.4,0.502,0.373,0.741,20.25,2.5714285714285716,9.964285714285715,10.3,Role Player
Santi Aldama,MEM,F-C,65,25.5,12.5,2.9,6.4,0.8,0.4,1.1,0.483,0.368,0.691,17.64705882352941,4.094117647058823,9.035294117647059,26.5,Rebounder / Interior Player
Scoot Henderson,POR,G,66,26.7,12.7,5.1,3.0,1.0,0.2,2.7,0.419,0.354,0.767,17.123595505617978,6.876404494382022,4.044943820224719,25.7,Playmaker
Scottie Barnes,TOR,F-G,65,32.8,19.3,5.8,7.7,1.4,1.0,2.8,0.446,0.271,0.755,21.182926829268297,6.365853658536586,8.451219512195122,45.4,All-Around Player
Scotty Pippen Jr.,MEM,G,79,21.3,9.9,4.4,3.3,1.3,0.4,1.7,0.48,0.397,0.713,16.732394366197184,7.43661971830986,5.577464788732394,26.3,Playmaker
Seth Curry,CHA,G,68,15.6,6.5,0.9,1.7,0.4,0.1,0.5,0.478,0.456,0.846,15.0,2.076923076923077,3.9230769230769234,7.4,Role Player
Shaedon Sharpe,POR,G,72,31.3,18.5,2.8,4.5,0.9,0.2,2.1,0.452,0.311,0.785,21.277955271565496,3.220447284345048,5.175718849840256,26.9,Scorer
Shai Gilgeous-Alexander,OKC,G,76,34.2,32.7,6.4,5.0,1.7,1.0,2.4,0.519,0.375,0.898,34.421052631578945,6.7368421052631575,5.263157894736842,53.2,All-Around Player
Shake Milton,LAL,G,57,14.7,5.5,1.8,1.8,0.4,0.1,0.7,0.453,0.358,0.797,13.469387755102042,4.408163265306123,4.408163265306123,8.5,Role Player
Simone Fontecchio,DET,F,75,16.5,5.9,0.9,2.9,0.4,0.2,0.7,0.402,0.335,0.833,12.872727272727273,1.9636363636363638,6.327272727272727,9.4,Role Player
Spencer Dinwiddie,DAL,G,79,27.0,11.0,4.4,2.6,0.9,0.2,1.3,0.416,0.334,0.802,14.666666666666666,5.866666666666667,3.466666666666667,22.0,Playmaker
Stephen Curry,GSW,G,70,32.2,24.5,6.0,4.4,1.1,0.4,2.9,0.448,0.397,0.933,27.391304347826086,6.70807453416149,4.919254658385094,38.8,All-Around Player
Stephon Castle,SAS,G,81,26.7,14.7,4.1,3.7,0.9,0.3,2.2,0.428,0.285,0.724,19.820224719101123,5.528089887640449,4.988764044943821,26.1,Scorer
Steven Adams,HOU,C,58,13.7,3.9,1.1,5.6,0.4,0.5,0.9,0.545,0.0,0.462,10.248175182481752,2.89051094890511,14.715328467153284,14.2,Rebounder / Interior Player
Svi Mykhailiuk,UTA,G-F,38,20.0,8.8,2.0,2.4,0.5,0.2,1.4,0.391,0.345,0.8,15.840000000000002,3.6,4.32,13.2,Role Player
T.J. McConnell,IND,G,79,17.9,9.1,4.4,2.4,1.1,0.3,1.4,0.519,0.306,0.74,18.301675977653634,8.849162011173187,4.826815642458101,22.4,Playmaker
Taj Gibson,CHA,F,37,11.1,2.9,0.6,3.2,0.2,0.5,0.7,0.495,0.5,0.6,9.405405405405405,1.945945945945946,10.378378378378379,7.5,Role Player
Talen Horton-Tucker,CHI,G,58,12.5,6.5,1.4,1.7,0.4,0.2,0.7,0.457,0.336,0.735,18.72,4.032,4.896000000000001,8.8,Role Player
Tari Eason,HOU,F,57,24.9,12.0,1.5,6.4,1.7,0.9,1.1,0.487,0.342,0.76,17.34939759036145,2.168674698795181,9.253012048192772,32.7,All-Around Player
Taurean Prince,MIL,F,80,27.1,8.2,1.9,3.6,1.0,0.2,1.0,0.457,0.439,0.813,10.892988929889297,2.523985239852398,4.782287822878229,18.0,Role Player
Terance Mann,ATL,G-F,67,21.1,7.7,1.8,3.0,0.7,0.2,0.7,0.496,0.368,0.691,13.137440758293838,3.0710900473933647,5.118483412322274,14.5,Role Player
Terrence Shannon Jr.,MIN,G-F,32,10.6,4.3,1.0,1.5,0.2,0.2,0.5,0.482,0.355,0.81,14.60377358490566,3.3962264150943398,5.09433962264151,5.0,Role Player
Terry Rozier,MIA,G,64,25.9,10.6,2.6,3.7,0.6,0.2,1.2,0.391,0.295,0.852,14.733590733590734,3.6138996138996142,5.142857142857143,18.1,Role Player
Thomas Bryant,IND,C-F,66,14.6,6.5,0.8,3.8,0.4,0.6,0.5,0.508,0.324,0.859,16.027397260273972,1.9726027397260275,9.36986301369863,13.1,Rebounder / Interior Player
Tidjane Salaün,CHA,F,60,20.7,5.9,1.2,4.7,0.5,0.2,1.0,0.33,0.283,0.713,10.260869565217392,2.0869565217391304,8.173913043478262,13.4,Role Player
Tim Hardaway Jr.,DET,G-F,77,28.0,11.0,1.6,2.4,0.5,0.1,0.6,0.406,0.368,0.855,14.142857142857142,2.0571428571428574,3.085714285714286,13.4,Role Player
Tobias Harris,DET,F,73,31.6,13.7,2.2,5.9,1.0,0.8,1.2,0.477,0.345,0.861,15.60759493670886,2.5063291139240507,6.7215189873417724,28.8,All-Around Player
Torrey Craig,BOS,F,26,12.1,4.2,0.7,2.8,0.3,0.5,0.3,0.422,0.364,0.667,12.495867768595042,2.0826446280991733,8.330578512396693,8.7,Role Player
Tosan Evbuomwan,BKN,F,28,23.7,9.5,2.0,4.3,0.9,0.4,1.4,0.427,0.312,0.753,14.430379746835442,3.0379746835443036,6.531645569620253,20.4,Role Player
Toumani Camara,POR,F,78,32.7,11.3,2.2,5.8,1.5,0.6,1.4,0.458,0.375,0.722,12.440366972477065,2.422018348623853,6.38532110091743,29.6,All-Around Player
Trae Young,ATL,G,76,36.0,24.2,11.6,3.1,1.2,0.2,4.7,0.411,0.34,0.875,24.2,11.599999999999998,3.1,46.2,All-Around Player
Trayce Jackson-Davis,GSW,F,62,15.6,6.6,1.7,5.0,0.4,0.6,0.7,0.576,0.0,0.578,15.23076923076923,3.9230769230769234,11.53846153846154,16.6,Rebounder / Interior Player
Tre Jones,CHI,G,46,19.7,7.2,4.2,2.5,0.8,0.2,0.8,0.538,0.396,0.821,13.157360406091373,7.6751269035533,4.568527918781726,18.3,Playmaker
Trendon Watford,BKN,G-F,44,20.7,10.2,2.6,3.6,0.6,0.3,1.9,0.469,0.33,0.762,17.73913043478261,4.521739130434783,6.2608695652173925,18.2,Role Player
Trevelin Queen,ORL,G,31,13.9,4.9,1.2,1.7,1.0,0.3,0.7,0.381,0.286,0.857,12.69064748201439,3.107913669064748,4.402877697841726,12.3,Role Player
Trey Jemison III,LAL,C,38,10.3,2.5,0.4,2.8,0.2,0.4,0.6,0.554,0.0,0.394,8.737864077669903,1.3980582524271843,9.78640776699029,5.8,Role Player
Trey Lyles,SAC,F,69,19.6,6.5,1.2,4.6,0.6,0.3,0.6,0.42,0.34,0.7,11.938775510204081,2.204081632653061,8.448979591836734,14.9,Role Player
Trey Murphy III,NOP,F,53,35.0,21.2,3.5,5.1,1.1,0.7,1.9,0.454,0.361,0.887,21.805714285714284,3.6,5.2457142857142856,34.9,All-Around Player
Tristan Vukcevic,WAS,F,35,14.6,9.4,1.1,3.7,0.3,0.7,1.2,0.496,0.373,0.776,23.178082191780824,2.712328767123288,9.123287671232877,15.2,Rebounder / Interior Player
Tristan da Silva,ORL,F,74,22.0,7.2,1.5,3.3,0.4,0.2,0.8,0.412,0.335,0.873,11.781818181818181,2.454545454545454,5.3999999999999995,11.9,Role Player
Ty Jerome,CLE,G-F,70,19.9,12.5,3.4,2.5,1.1,0.0,1.3,0.516,0.439,0.872,22.61306532663317,6.150753768844222,4.522613065326634,21.4,Playmaker
Tyler Herro,MIA,G,77,35.4,23.9,5.5,5.2,0.9,0.2,2.6,0.472,0.375,0.878,24.30508474576271,5.593220338983051,5.288135593220339,36.3,All-Around Player
Tyrese Haliburton,IND,G,73,33.6,18.6,9.2,3.5,1.4,0.7,1.6,0.473,0.388,0.851,19.92857142857143,9.857142857142856,3.7499999999999996,43.0,All-Around Player
Tyrese Martin,BKN,F,60,21.9,8.7,2.0,3.7,0.6,0.2,1.2,0.406,0.351,0.793,14.301369863013697,3.2876712328767126,6.082191780821918,15.8,Role Player
Tyrese Maxey,PHI,G,52,37.7,26.3,6.1,3.3,1.8,0.4,2.4,0.437,0.337,0.879,25.114058355437663,5.824933687002652,3.1511936339522544,43.5,All-Around Player
Tyus Jones,PHX,G,81,26.8,10.2,5.3,2.4,0.9,0.1,1.1,0.448,0.414,0.895,13.701492537313433,7.119402985074626,3.2238805970149254,22.3,Playmaker
Vasilije Micic,PHX,G,41,19.1,6.6,3.1,2.2,0.4,0.0,1.9,0.348,0.36,0.829,12.439790575916229,5.842931937172775,4.146596858638743,11.6,Role Player
Victor Wembanyama,SAS,F-C,46,33.2,24.3,3.7,11.0,1.1,3.8,3.2,0.476,0.352,0.836,26.349397590361445,4.0120481927710845,11.927710843373493,62.6,All-Around Player
Vince Williams Jr.,MEM,G,27,18.5,6.6,2.0,3.6,0.4,0.3,1.2,0.401,0.274,0.792,12.843243243243242,3.891891891891892,7.005405405405406,13.4,Role Player
Vít Krejčí,ATL,G,57,20.2,7.2,2.6,2.7,0.6,0.5,0.9,0.497,0.437,0.711,12.831683168316832,4.633663366336634,4.811881188118813,16.0,Role Player
Walker Kessler,UTA,C,58,30.0,11.1,1.7,12.2,0.6,2.4,1.5,0.663,0.176,0.52,13.32,2.04,14.639999999999999,41.4,Rebounder / Interior Player
Wendell Carter Jr.,ORL,C-F,68,25.9,9.1,2.0,7.2,0.8,0.6,1.1,0.46,0.234,0.737,12.64864864864865,2.7799227799227797,10.007722007722007,24.9,Rebounder / Interior Player
Wendell Moore Jr.,CHA,G,36,13.9,4.2,1.2,2.6,0.6,0.1,0.8,0.468,0.341,0.818,10.877697841726619,3.107913669064748,6.733812949640288,9.3,Role Player
Yves Missi,NOP,C,73,26.8,9.1,1.4,8.2,0.5,1.3,1.1,0.547,0.0,0.623,12.223880597014924,1.880597014925373,11.014925373134327,27.0,Rebounder / Interior Player
Zaccharie Risacher,ATL,F,75,24.6,12.6,1.2,3.6,0.7,0.5,1.2,0.458,0.355,0.711,18.4390243902439,1.7560975609756095,5.268292682926829,19.1,Role Player
Zach Collins,CHI,F-C,64,15.3,6.4,1.7,4.5,0.5,0.5,0.9,0.507,0.302,0.885,15.058823529411764,4.0,10.588235294117647,15.9,Role Player
Zach Edey,MEM,C,66,21.5,9.2,1.0,8.3,0.5,1.3,1.3,0.58,0.346,0.709,15.404651162790698,1.6744186046511627,13.897674418604652,26.5,Rebounder / Interior Player
Zach LaVine,SAC,G,74,35.2,23.3,4.2,4.3,0.8,0.2,2.8,0.511,0.446,0.825,23.829545454545453,4.295454545454545,4.3977272727272725,31.5,Scorer
Zeke Nnaji,DEN,F-C,57,10.7,3.2,0.4,1.6,0.4,0.7,0.2,0.496,0.327,0.614,10.766355140186917,1.3457943925233646,5.3831775700934585,7.4,Rebounder / Interior Player
Ziaire Williams,BKN,F,63,24.5,10.0,1.3,4.6,1.0,0.4,1.1,0.412,0.341,0.821,14.693877551020408,1.9102040816326533,6.759183673469387,20.7,Role Player
Zion Williamson,NOP,F,30,28.6,24.6,5.3,7.2,1.2,0.9,3.0,0.567,0.231,0.656,30.965034965034963,6.671328671328672,9.062937062937062,45.3,All-Around Player
