PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
Christian Braun,DEN,G,79,33.9,15.4,2.6,5.2,1.1,0.5,1.0,0.58,0.397,0.827,16.353982300884958,2.7610619469026547,5.522123893805309,28.7,All-Around Player
Clint Capela,ATL,C,55,21.4,8.9,1.1,8.5,0.6,1.0,0.9,0.559,0.0,0.536,14.971962616822431,1.8504672897196264,14.29906542056075,25.9,Rebounder / Interior Player
Coby White,CHI,G,74,33.1,20.4,4.5,3.7,0.9,0.2,2.4,0.453,0.37,0.902,22.187311178247732,4.894259818731118,4.02416918429003,30.0,Scorer
Cody Martin,PHX,F,53,22.1,6.8,2.0,4.2,1.1,0.6,1.0,0.418,0.285,0.705,11.076923076923075,3.257918552036199,6.841628959276018,21.0,Rebounder / Interior Player
Cody Williams,UTA,F,50,21.2,4.6,1.2,2.3,0.5,0.3,0.9,0.323,0.259,0.725,7.811320754716981,2.0377358490566038,3.9056603773584904,9.4,Role Player
Colby Jones,WAS,G,39,13.2,4.0,1.1,2.2,0.7,0.3,0.6,0.457,0.327,0.657,10.90909090909091,3.0000000000000004,6.000000000000001,10.1,Role Player
Cole Anthony,MEM,G,67,18.4,9.4,2.9,3.0,0.7,0.5,1.5,0.424,0.353,0.823,18.39130434782609,5.673913043478261,5.869565217391305,19.1,Role Player
Colin Castleton,TOR,C,26,16.6,4.7,1.1,4.7,0.3,0.4,0.9,0.469,0.125,0.763,10.192771084337348,2.385542168674699,10.192771084337348,12.1,Role Player
Collin Gillespie,PHX,G,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,0.43,0.433,0.864,15.17142857142857,6.171428571428572,6.171428571428572,12.7,Role Player
Collin Sexton,UTA,G,63,27.9,18.4,4.2,2.7,0.7,0.1,2.5,0.48,0.406,0.865,23.741935483870968,5.419354838709678,3.483870967741936,24.6,Scorer
Corey Kispert,WAS,F,61,26.3,11.6,1.7,3.0,0.4,0.2,1.0,0.451,0.364,0.852,15.878326996197718,2.326996197718631,4.106463878326997,14.7,Role Player
Cory Joseph,ORL,G,50,12.2,3.5,1.4,1.5,0.5,0.1,0.4,0.403,0.364,0.778,10.327868852459018,4.131147540983607,4.426229508196721,6.8,Role Player
Craig Porter Jr.,CLE,G,51,10.1,3.7,1.4,1.3,0.3,0.3,0.7,0.514,0.438,0.719,13.18811881188119,4.990099009900989,4.633663366336634,6.2,Role Player
D'Angelo Russell,BKN,G,58,25.5,12.6,5.1,2.8,1.0,0.4,1.9,0.39,0.314,0.834,17.788235294117644,7.199999999999999,3.9529411764705884,26.4,Playmaker
DaQuan Jeffries,CHA,G-F,47,22.8,6.7,1.1,2.9,0.6,0.5,0.7,0.405,0.335,0.8,10.578947368421053,1.736842105263158,4.578947368421052,13.3,Role Player
Dalano Banton,POR,F,67,16.7,8.3,2.4,2.0,0.6,0.5,1.3,0.391,0.324,0.728,17.89221556886228,5.173652694610778,4.311377245508982,15.2,Role Player
Dalen Terry,CHI,F,73,13.5,4.5,1.3,1.7,0.6,0.2,0.7,0.448,0.356,0.71,12.0,3.466666666666667,4.533333333333333,8.8,Role Player
Dalton Knecht,LAL,F,78,19.2,9.1,0.8,2.8,0.3,0.1,0.5,0.461,0.376,0.762,17.0625,1.5000000000000002,5.25,9.9,Role Player
Damian Lillard,MIL,G,58,36.1,24.9,7.1,4.7,1.2,0.2,2.8,0.448,0.376,0.921,24.831024930747922,7.080332409972298,4.686980609418283,41.1,All-Around Player
Daniel Gafford,DAL,F-C,57,21.5,12.3,1.4,6.8,0.4,1.8,1.2,0.702,0.0,0.689,20.595348837209304,2.344186046511628,11.386046511627907,28.8,Rebounder / Interior Player
Daniel Theis,NOP,UNK,38,16.3,4.3,1.6,4.3,0.5,0.5,0.7,0.473,0.243,0.838,9.496932515337422,3.5337423312883436,9.496932515337422,14.0,Role Player
Dante Exum,DAL,G,20,18.6,8.7,2.8,1.7,0.6,0.2,1.1,0.478,0.434,0.742,16.838709677419352,5.419354838709676,3.290322580645161,14.2,Role Player
Dariq Whitehead,BKN,G-F,20,12.3,5.7,0.6,1.5,0.3,0.1,0.8,0.406,0.446,0.6,16.68292682926829,1.7560975609756095,4.390243902439025,5.4,Role Player
Darius Garland,CLE,G,75,30.7,20.6,6.7,2.9,1.2,0.1,2.5,0.472,0.401,0.878,24.15635179153095,7.856677524429968,3.400651465798046,34.4,All-Around Player
David Roddy,HOU,F,33,12.4,4.6,1.1,2.5,0.4,0.3,0.7,0.456,0.311,0.769,13.354838709677418,3.1935483870967745,7.258064516129032,8.8,Role Player
Davion Mitchell,MIA,G,74,27.4,7.9,4.9,2.3,1.0,0.2,1.7,0.468,0.398,0.69,10.379562043795621,6.437956204379563,3.0218978102189777,21.1,Playmaker
Day'Ron Sharpe,BKN,C,50,18.1,7.9,1.8,6.6,0.8,0.8,1.3,0.521,0.244,0.757,15.712707182320441,3.580110497237569,13.127071823204417,24.0,Rebounder / Interior Player
De'Aaron Fox,SAS,G,62,36.1,23.5,6.3,4.8,1.5,0.4,2.8,0.463,0.31,0.827,23.434903047091414,6.282548476454293,4.786703601108033,42.2,All-Around Player
De'Andre Hunter,CLE,F-G,64,27.2,17.0,1.4,4.0,0.8,0.2,1.3,0.47,0.405,0.846,22.5,1.852941176470588,5.294117647058823,22.0,Scorer
DeAndre Jordan,DEN,C,56,12.3,3.7,0.9,5.1,0.3,0.5,0.7,0.65,0.0,0.422,10.829268292682926,2.6341463414634143,14.92682926829268,12.2,Role Player
DeMar DeRozan,SAC,G-F,77,35.9,22.2,4.4,3.9,0.8,0.4,1.4,0.477,0.328,0.857,22.26183844011142,4.412256267409471,3.9108635097493036,31.6,Scorer
